"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","166, 77, 121","255, 0, 255","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","166, 77, 121","255, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
"255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255","153, 0, 255"
